Facility Name,Latitude,Longitude,Geometry,Sectors_Industry_Type,Total reported direct emissions
121 REGIONAL DISPOSAL FACILITY,33.9814,-96.53143,"{""type"":""Point"",""coordinates"":[-96.53143,33.9814]}",Waste,199011.75
15-18565/15-18662,37.219099,-83.156046,"{""type"":""Point"",""coordinates"":[-83.156046,37.219099]}",Other,118204.5
15-19015,37.236617,-83.18126,"{""type"":""Point"",""coordinates"":[-83.18126,37.236617]}",Other,55872.5
23rd and 3rd,40.663,-74,"{""type"":""Point"",""coordinates"":[-74,40.663]}",Power Plants,67399.252
29-6 #2 Central Delivery Point,36.7452,-107.4455,"{""type"":""Point"",""coordinates"":[-107.4455,36.7452]}",Petroleum and Natural Gas Systems,15391.592
30-5 Central Delivery Point Compressor Station,36.8118,-107.4036,"{""type"":""Point"",""coordinates"":[-107.4036,36.8118]}",Petroleum and Natural Gas Systems,22506.516
31-6 Central Delivery Point,36.8363,-1074199,"{""type"":""Point"",""coordinates"":[-1074199,36.8363]}",Petroleum and Natural Gas Systems,52646.752
31st Street Landfill,41.83491,-87.91633,"{""type"":""Point"",""coordinates"":[-87.91633,41.83491]}",Wastes,92696.6
32-7 Central Delivery Point,36.9313,-107.5604,"{""type"":""Point"",""coordinates"":[-107.5604,36.9313]}",Petroleum and Natural Gas Systems,33654.124
32-8 #2 CDP COMPRESSOR STATION,36.9569,-107.6631,"{""type"":""Point"",""coordinates"":[-107.6631,36.9569]}",Petroleum and Natural Gas Systems,40868.396
3M BROWNWOOD,31.671177,-98.996513,"{""type"":""Point"",""coordinates"":[-98.996513,31.671177]}",Minerals,36754.712
3M CO,44.951,92.9959,"{""type"":""Point"",""coordinates"":[92.9959,44.951]}",Other,79440.076
3M CO - GUIN,33.96672,-87.899855,"{""type"":""Point"",""coordinates"":[-87.899855,33.96672]}",Minerals,31694.636
3M CO - WAUSAU DOWNTOWN,44.95097,-89.63647,"{""type"":""Point"",""coordinates"":[-89.63647,44.95097]}",Other,22926.664
3M COMPANY,34.641667,-87.038611,"{""type"":""Point"",""coordinates"":[-87.038611,34.641667]}","Chemicals,Industrial Gas Suppliers",47000.2876
3M CORDOVA,41.755,-90.284167,"{""type"":""Point"",""coordinates"":[-90.284167,41.755]}","Chemicals,Industrial Gas Suppliers",889525.15
3M Cottage Grove Center - Site,44.789444,-92.908333,"{""type"":""Point"",""coordinates"":[-92.908333,44.789444]}","Chemicals,Industrial Gas Suppliers,Minerals",45073.584
3M INDUSTRIAL MINERAL PRODUCTS DIVISION,34.708919,-92.239492,"{""type"":""Point"",""coordinates"":[-92.239492,34.708919]}",Other,24870.356
3M MAGNETIC TAPE MANUFACTURING DIVISION,44.879294,-94361896,"{""type"":""Point"",""coordinates"":[-94361896,44.879294]}",Pulp and Paper,36316.764
3M NEVADA PLANT,37.83442,-94.330397,"{""type"":""Point"",""coordinates"":[-94.330397,37.83442]}",Other,31007.384
4 West Mine,39.75537,-80.003499,"{""type"":""Point"",""coordinates"":[-80.003499,39.75537]}",Other,133881.75
48th Street Peaking Station,42.7553,-86.0853,"{""type"":""Point"",""coordinates"":[-86.0853,42.7553]}",Power Plants,12264.256
50 Buttes Gas Plant,,,,Petroleum and Natural Gas Systems,31419.588
58TH ST LF (MAIN COUNTY LF),25.82621,-80.340819,"{""type"":""Point"",""coordinates"":[-80.340819,25.82621]}",Waste,84936.75
59th Street,40.7711,-73.9911,"{""type"":""Point"",""coordinates"":[-73.9911,40.7711]}",Power Plants,238778.194
69TH ST WWTP,29.75578,-95.29797,"{""type"":""Point"",""coordinates"":[-95.29797,29.75578]}",Other,26395.6
